Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
6499,165.62,156.18,1.3300000000000125,1.0400000000000205
6516,166.92,157.27,1.299999999999983,1.0900000000000034
6534,168.07,158.55,1.1500000000000057,1.2800000000000011
6551,169.37,159.88,1.3000000000000114,1.329999999999984
6568,170.68,161.21,1.3100000000000023,1.3300000000000125
6585,171.98,162.57,1.299999999999983,1.3599999999999852
6601,173.29,163.77,1.3100000000000023,1.200000000000017
6618,174.62,165.2,1.3300000000000125,1.4299999999999784
6636,175.95,166.48,1.329999999999984,1.2800000000000011
6653,177.28,167.99,1.3300000000000125,1.5100000000000193
6671,178.53,169.19,1.25,1.1999999999999886
6688,179.68,170.47,1.1500000000000057,1.2800000000000011
6706,180.82,171.8,1.1399999999999864,1.3300000000000125
6725,182.07,172.89,1.25,1.089999999999975
6742,183.4,174.22,1.3300000000000125,1.3300000000000125
6759,184.81,175.58,1.4099999999999966,1.3600000000000136
6777,186.19,176.88,1.3799999999999955,1.299999999999983
6794,187.55,178.16,1.3600000000000136,1.2800000000000011
6811,188.98,179.41,1.4299999999999784,1.25
6829,190.42,180.77,1.4399999999999977,1.3600000000000136
6845,191.83,182.15,1.410000000000025,1.3799999999999955
6864,193.26,183.59,1.4299999999999784,1.4399999999999977
6881,194.67,184.73,1.4099999999999966,1.1399999999999864
6898,195.95,185.91,1.2800000000000011,1.1800000000000068
6916,197.46,187.08,1.5100000000000193,1.170000000000016
6933,198.74,188.36,1.2800000000000011,1.2800000000000011
6951,200.15,189.77,1.4099999999999966,1.4099999999999966
6970,201.53,191.25,1.3799999999999955,1.4799999999999898
6987,202.86,192.45,1.3300000000000125,1.1999999999999886
7003,204.24,193.47,1.3799999999999955,1.0200000000000102
7023,205.7,194.67,1.4599999999999795,1.1999999999999886
7040,207.37,196.29,1.670000000000016,1.6200000000000045
7057,208.52,197.49,1.1500000000000057,1.200000000000017
7074,209.95,198.79,1.4299999999999784,1.299999999999983
7091,211.41,199.91,1.460000000000008,1.1200000000000045
7108,212.87,201.03,1.460000000000008,1.1200000000000045
7127,214.44,202.1,1.5699999999999932,1.0699999999999932
7145,216.05,203.22,1.6100000000000136,1.1200000000000045
7162,217.59,204.48,1.539999999999992,1.259999999999991
7179,219.52,206.14,1.9300000000000068,1.6599999999999966
7198,220.64,207.13,1.1199999999999761,0.9900000000000091
7216,222.1,208.54,1.460000000000008,1.4099999999999966
7232,223.36,209.93,1.2600000000000193,1.3900000000000148
7250,224.84,211.28,1.4799999999999898,1.3499999999999943
7267,226.09,212.61,1.25,1.3300000000000125
7285,227.48,213.6,1.3899999999999864,0.9899999999999807
7302,228.83,215.09,1.3500000000000227,1.490000000000009
7322,230.14,216.44,1.3099999999999739,1.3499999999999943
7341,231.34,217.57,1.200000000000017,1.1299999999999955
7359,232.43,218.9,1.0900000000000034,1.3300000000000125
7376,233.55,220.36,1.1200000000000045,1.460000000000008
7394,234.7,221.74,1.1499999999999773,1.3799999999999955
7412,235.85,223.04,1.1500000000000057,1.299999999999983
7430,237.02,224.14,1.170000000000016,1.0999999999999943
7447,238.06,225.31,1.039999999999992,1.170000000000016
7465,239.16,226.59,1.0999999999999943,1.2800000000000011
7482,240.36,227.58,1.200000000000017,0.9900000000000091
7500,241.64,228.94,1.2799999999999727,1.3599999999999852
7517,243.04,230.16,1.4000000000000057,1.2199999999999989
7535,244.45,231.47,1.4099999999999966,1.3100000000000023
7553,245.81,232.8,1.3600000000000136,1.3300000000000125
7569,247.22,234.18,1.4099999999999966,1.3799999999999955
7587,248.47,235.25,1.25,1.0699999999999932
7606,249.85,236.79,1.3799999999999955,1.539999999999992
7623,251.36,237.67,1.5100000000000193,0.8799999999999955
7641,252.69,238.85,1.329999999999984,1.1800000000000068
7658,254.15,240.12,1.460000000000008,1.2700000000000102
7676,255.54,241.04,1.3899999999999864,0.9199999999999875
7693,256.87,242.16,1.3300000000000125,1.1200000000000045
7711,258.14,243.51,1.2699999999999818,1.3499999999999943
7729,259.5,244.9,1.3600000000000136,1.3900000000000148
7748,260.93,246.8,1.4300000000000068,1.9000000000000057
7765,262.63,247.84,1.6999999999999886,1.039999999999992
7782,263.96,249.12,1.329999999999984,1.2800000000000011
7799,265.29,250.48,1.330000000000041,1.3599999999999852
7816,266.57,251.86,1.2799999999999727,1.3800000000000239
7833,267.87,252.9,1.3000000000000114,1.039999999999992
7851,269.17,253.94,1.3000000000000114,1.039999999999992
7868,270.53,255.01,1.3599999999999568,1.0699999999999932
7885,271.91,256.08,1.3800000000000523,1.0699999999999932
7903,273.32,257.28,1.4099999999999682,1.1999999999999886
7920,274.73,258.46,1.410000000000025,1.1800000000000068
7939,276.11,260.05,1.3799999999999955,1.5900000000000318
7955,277.39,261.64,1.2799999999999727,1.589999999999975
7973,278.8,263.12,1.410000000000025,1.4800000000000182
7990,280.18,264.43,1.3799999999999955,1.3100000000000023
8008,281.59,265.6,1.4099999999999682,1.170000000000016
8026,282.99,266.83,1.400000000000034,1.2299999999999613
8044,284.32,268.13,1.329999999999984,1.3000000000000114
8061,285.5,269.41,1.1800000000000068,1.2800000000000296
8078,286.52,270.71,1.0199999999999818,1.2999999999999545
8096,287.61,272.12,1.0900000000000318,1.410000000000025
8112,288.78,273.55,1.169999999999959,1.4300000000000068
8129,290.11,274.86,1.330000000000041,1.3100000000000023
8147,291.5,276.11,1.3899999999999864,1.25
8164,292.93,277.49,1.4300000000000068,1.3799999999999955
8181,294.13,278.61,1.1999999999999886,1.1200000000000045
8199,295.46,279.87,1.329999999999984,1.259999999999991
8216,296.79,281.2,1.330000000000041,1.329999999999984
8232,298.25,282.47,1.4599999999999795,1.2700000000000387
