Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
5098,7.67,35.2,0.4500000000000002,0.28000000000000114
5116,8.19,35.44,0.5199999999999996,0.23999999999999488
5132,8.58,35.7,0.39000000000000057,0.2600000000000051
5150,9.0,36.07,0.41999999999999993,0.36999999999999744
5169,9.41,36.48,0.41000000000000014,0.4099999999999966
5187,9.83,36.93,0.41999999999999993,0.45000000000000284
5207,10.25,37.32,0.41999999999999993,0.39000000000000057
5225,10.64,37.73,0.39000000000000057,0.4099999999999966
5243,11.03,38.15,0.3899999999999988,0.4200000000000017
5261,11.45,38.54,0.41999999999999993,0.39000000000000057
5278,11.81,38.91,0.3600000000000012,0.36999999999999744
5294,12.26,39.33,0.4499999999999993,0.4200000000000017
5313,12.86,39.61,0.5999999999999996,0.28000000000000114
5329,13.25,39.9,0.39000000000000057,0.28999999999999915
5347,13.66,40.13,0.41000000000000014,0.23000000000000398
5363,14.08,40.39,0.41999999999999993,0.259999999999998
5381,14.5,40.71,0.41999999999999993,0.3200000000000003
5398,14.94,41.02,0.4399999999999995,0.3100000000000023
5416,15.31,41.46,0.370000000000001,0.4399999999999977
5432,15.72,41.91,0.41000000000000014,0.44999999999999574
5449,16.17,42.38,0.45000000000000107,0.47000000000000597
5466,16.61,42.74,0.4399999999999977,0.35999999999999943
5485,16.98,43.34,0.370000000000001,0.6000000000000014
5503,17.58,43.76,0.5999999999999979,0.4199999999999946
5520,17.99,44.18,0.41000000000000014,0.4200000000000017
5537,18.46,44.62,0.4700000000000024,0.4399999999999977
5554,19.04,45.11,0.5799999999999983,0.490000000000002
5571,19.58,45.56,0.5399999999999991,0.45000000000000284
5587,20.16,46.05,0.5800000000000018,0.4899999999999949
5604,20.76,46.57,0.6000000000000014,0.5200000000000031
5621,21.28,47.02,0.5199999999999996,0.45000000000000284
5638,21.83,47.72,0.5499999999999972,0.6999999999999957
5654,22.48,48.11,0.6500000000000021,0.39000000000000057
5670,22.9,48.56,0.41999999999999815,0.45000000000000284
5688,23.39,49.08,0.490000000000002,0.519999999999996
5704,23.89,49.65,0.5,0.5700000000000003
5720,24.41,50.3,0.5199999999999996,0.6499999999999986
5737,24.88,50.9,0.46999999999999886,0.6000000000000014
5753,25.43,51.53,0.5500000000000007,0.6300000000000026
5770,25.95,52.16,0.5199999999999996,0.6299999999999955
5786,26.42,52.68,0.4700000000000024,0.5200000000000031
5802,26.99,53.28,0.5699999999999967,0.6000000000000014
5820,27.41,53.75,0.4200000000000017,0.46999999999999886
5836,27.93,54.19,0.5199999999999996,0.4399999999999977
5853,28.42,54.76,0.490000000000002,0.5700000000000003
5870,29.0,55.28,0.5799999999999983,0.5200000000000031
5886,29.52,55.83,0.5199999999999996,0.5499999999999972
5904,30.09,56.38,0.5700000000000003,0.5500000000000043
5921,30.64,56.88,0.5500000000000007,0.5
